name,form
Prospectus [Rule 424(b)(7)],424B7
Prospectus filed pursuant to Rule 424(b)(8),424B8
*,424H
"Prospectuses and communications, business combinations",425
"Transitional statement, extensions of credit [Rule 45(b)(3)]",45B-3
Post Effective Amendments,485A24E
Post Effective Amendments,485A24F
Post-effective amendment [Rule 485(a)],485APOS
Post Effective Amendments,485B24E
Post Effective Amendments,485B24F
Post-effective amendment [Rule 485(b)],485BPOS
New effective date for post-effective amendment [Rule 485(b)(1)(iii)],485BXT
Post Effective Amendments to designate new effective dates,485BXTF
Post Effective Amendments of N-2s,486A24E
Post-effective amendment [Rule 485(a)],486APOS
Post Effective Amendments of N-2s,486B24E
Post-effective amendment [Rule 485(b)],486BPOS
*,486BXT
Pre-effective pricing amendments [Rule 487],487
Definitive materials,497
Filing by certain investment companies of Rule 482 advertising [Rule 497 and 482(c)],497AD
Filings [Rule 497(h)(2)],497H2
Certification of no change in definitive materials,497J
Summary Prospectus for certain open-end management investment companies filed pursuant to Securities Act Rule 497(K),497K
"Profiles for certain open-end management investment companies, [Rule 497(k)(1)(i)]",497K1
"Profiles for certain open-end management investment companies, [Rule 497(k)(1)(ii)]",497K2
"Profiles for certain open-end management investment companies, [Rule 497(k)(1)(iii)(A)]",497K3A
"Profiles for certain open-end management investment companies, [Rule 497(k)(1)(iii)(B)]",497K3B
*,497VPI
*,497VPU
Annual statement of changes in beneficial ownership of securities,5
Report of foreign issuer [Rules 13a-16 and 15d-16],6-K
40-6B Notice,6B NTC
40-6B Order,6B ORDR
Optional Form of Escrow for Securities [Rule 253(c) of Regulation A],7-A
Registration of securities [Section 12(b)],8-A12B
Registration of securities [Section 12(g)],8-A12G
Registrations of Securities of certain successor issuers,8-B12B
Registrations of Securities of certain successor issuers,8-B12G
Current report,8-K
Notification that a class of securities of successor issuer is deemed to be registered pursuant to section 12(b),8-K12B
Notification of securities of successor issuers deemed to registered [Section 12],8-K12G3
Notification of assumption of duty to report by successor issue [Section 15(d)],8-K15D5
"Consent to service of process by Notice, Corporation non-Resident BD",8-M
Registrations of certain classes of Securities,8A12BEF
Registrations of certain classes of Securities,8A12BT
40-8F-2 Notice,8F-2 NTC
40-8F-2 Order,8F-2 ORDR
"Consent to service of process by Notice, Partnership non-Resident BD",9-M
